67:  1/5 : 88.2% | 2/5 : 67.6% | 3/5 : 52.9% | 4/5 : 48.5% | 5/5 : 44.1% | 6/5 : 301.5% ||
68:  1/5 : 88.4% | 2/5 : 68.1% | 3/5 : 53.6% | 4/5 : 49.3% | 5/5 : 44.9% | 6/5 : 304.3% ||
69:  1/5 : 88.6% | 2/5 : 68.6% | 3/5 : 54.3% | 4/5 : 50.0% | 5/5 : 45.7% | 6/5 : 307.1% ||
70:  1/5 : 88.7% | 2/5 : 69.0% | 3/5 : 53.5% | 4/5 : 49.3% | 5/5 : 45.1% | 6/5 : 305.6% ||
71:  1/5 : 88.9% | 2/5 : 69.4% | 3/5 : 54.2% | 4/5 : 50.0% | 5/5 : 45.8% | 6/5 : 308.3% ||
72:  1/5 : 89.0% | 2/5 : 69.9% | 3/5 : 53.4% | 4/5 : 49.3% | 5/5 : 45.2% | 6/5 : 306.8% ||
73:  1/5 : 89.2% | 2/5 : 70.3% | 3/5 : 54.1% | 4/5 : 50.0% | 5/5 : 45.9% | 6/5 : 309.5% ||
74:  1/5 : 89.3% | 2/5 : 70.7% | 3/5 : 54.7% | 4/5 : 49.3% | 5/5 : 45.3% | 6/5 : 309.3% ||
75:  1/5 : 89.5% | 2/5 : 71.1% | 3/5 : 55.3% | 4/5 : 50.0% | 5/5 : 46.1% | 6/5 : 311.8% ||
76:  1/5 : 89.6% | 2/5 : 71.4% | 3/5 : 55.8% | 4/5 : 49.4% | 5/5 : 45.5% | 6/5 : 311.7% ||
77:  1/5 : 89.7% | 2/5 : 71.8% | 3/5 : 56.4% | 4/5 : 50.0% | 5/5 : 46.2% | 6/5 : 314.1% ||
78:  1/5 : 89.9% | 2/5 : 72.2% | 3/5 : 57.0% | 4/5 : 49.4% | 5/5 : 45.6% | 6/5 : 313.9% ||
79:  1/5 : 88.8% | 2/5 : 71.2% | 3/5 : 56.2% | 4/5 : 48.8% | 5/5 : 45.0% | 6/5 : 310.0% ||
80:  1/5 : 88.9% | 2/5 : 71.6% | 3/5 : 56.8% | 4/5 : 49.4% | 5/5 : 45.7% | 6/5 : 312.3% ||
81:  1/5 : 89.0% | 2/5 : 72.0% | 3/5 : 57.3% | 4/5 : 50.0% | 5/5 : 46.3% | 6/5 : 314.6% ||
82:  1/5 : 89.2% | 2/5 : 72.3% | 3/5 : 57.8% | 4/5 : 50.6% | 5/5 : 45.8% | 6/5 : 315.7% ||
83:  1/5 : 89.3% | 2/5 : 72.6% | 3/5 : 58.3% | 4/5 : 51.2% | 5/5 : 46.4% | 6/5 : 317.9% ||
84:  1/5 : 89.4% | 2/5 : 72.9% | 3/5 : 58.8% | 4/5 : 50.6% | 5/5 : 45.9% | 6/5 : 317.6% ||
85:  1/5 : 89.5% | 2/5 : 73.3% | 3/5 : 59.3% | 4/5 : 51.2% | 5/5 : 46.5% | 6/5 : 319.8% ||
