58/250: 0.746 | 0.559 | 0.475 | 0.390 | 0.356 | 
59/250: 0.750 | 0.567 | 0.483 | 0.400 | 0.350 | 
60/250: 0.754 | 0.557 | 0.475 | 0.393 | 0.344 | 
61/250: 0.758 | 0.548 | 0.468 | 0.387 | 0.339 | 
62/250: 0.762 | 0.556 | 0.476 | 0.397 | 0.349 | 
63/250: 0.766 | 0.547 | 0.469 | 0.391 | 0.344 | 
64/250: 0.769 | 0.554 | 0.477 | 0.385 | 0.338 | 
65/250: 0.773 | 0.561 | 0.485 | 0.394 | 0.348 | 
66/250: 0.776 | 0.567 | 0.493 | 0.403 | 0.343 | 
67/250: 0.779 | 0.574 | 0.485 | 0.397 | 0.338 | 
68/250: 0.783 | 0.580 | 0.493 | 0.391 | 0.333 | 
69/250: 0.786 | 0.586 | 0.500 | 0.400 | 0.343 | 
70/250: 0.789 | 0.592 | 0.507 | 0.394 | 0.338 | 
71/250: 0.792 | 0.597 | 0.500 | 0.389 | 0.333 | 
72/250: 0.795 | 0.603 | 0.507 | 0.397 | 0.342 | 
73/250: 0.797 | 0.595 | 0.500 | 0.392 | 0.338 | 
74/250: 0.787 | 0.587 | 0.493 | 0.387 | 0.333 | 
75/250: 0.776 | 0.579 | 0.487 | 0.382 | 0.329 | 
76/250: 0.766 | 0.571 | 0.481 | 0.377 | 0.325 | 
77/250: 0.769 | 0.577 | 0.487 | 0.385 | 0.321 | 
78/250: 0.772 | 0.570 | 0.481 | 0.380 | 0.316 | 
79/250: 0.775 | 0.562 | 0.475 | 0.375 | 0.312 | 
80/250: 0.778 | 0.556 | 0.469 | 0.370 | 0.309 | 
81/250: 0.780 | 0.561 | 0.476 | 0.366 | 0.305 | 
82/250: 0.783 | 0.554 | 0.470 | 0.361 | 0.301 | 
83/250: 0.786 | 0.560 | 0.464 | 0.357 | 0.298 | 
84/250: 0.788 | 0.553 | 0.459 | 0.353 | 0.294 | 
85/250: 0.791 | 0.547 | 0.453 | 0.349 | 0.291 | 
86/250: 0.793 | 0.540 | 0.448 | 0.345 | 0.287 | 
87/250: 0.795 | 0.545 | 0.455 | 0.341 | 0.284 | 
88/250: 0.787 | 0.539 | 0.449 | 0.337 | 0.281 | 
89/250: 0.778 | 0.533 | 0.444 | 0.333 | 0.278 | 
90/250: 0.780 | 0.527 | 0.440 | 0.330 | 0.275 | 
91/250: 0.783 | 0.522 | 0.435 | 0.326 | 0.272 | 
92/250: 0.785 | 0.527 | 0.441 | 0.333 | 0.280 | 
93/250: 0.787 | 0.532 | 0.447 | 0.330 | 0.277 | 
94/250: 0.789 | 0.526 | 0.442 | 0.326 | 0.274 | 
95/250: 0.792 | 0.521 | 0.438 | 0.323 | 0.271 | 
96/250: 0.794 | 0.515 | 0.433 | 0.320 | 0.268 | 
97/250: 0.796 | 0.510 | 0.429 | 0.316 | 0.265 | 
98/250: 0.788 | 0.505 | 0.424 | 0.313 | 0.263 | 
99/250: 0.790 | 0.510 | 0.430 | 0.320 | 0.270 | 
100/250: 0.792 | 0.515 | 0.436 | 0.317 | 0.267 | 
101/250: 0.794 | 0.510 | 0.431 | 0.314 | 0.265 | 
102/250: 0.796 | 0.515 | 0.437 | 0.320 | 0.272 | 
103/250: 0.798 | 0.519 | 0.442 | 0.317 | 0.269 | 
104/250: 0.800 | 0.524 | 0.448 | 0.324 | 0.276 | 
105/250: 0.802 | 0.528 | 0.453 | 0.330 | 0.283 | 
106/250: 0.804 | 0.533 | 0.458 | 0.336 | 0.280 | 
107/250: 0.806 | 0.537 | 0.463 | 0.343 | 0.287 | 
108/250: 0.807 | 0.541 | 0.468 | 0.349 | 0.294 | 
109/250: 0.809 | 0.545 | 0.473 | 0.355 | 0.300 | 
110/250: 0.811 | 0.550 | 0.477 | 0.360 | 0.297 | 
111/250: 0.812 | 0.554 | 0.482 | 0.366 | 0.304 | 
112/250: 0.805 | 0.549 | 0.478 | 0.363 | 0.301 | 
113/250: 0.807 | 0.553 | 0.482 | 0.360 | 0.298 | 
114/250: 0.809 | 0.557 | 0.487 | 0.365 | 0.304 | 
115/250: 0.810 | 0.560 | 0.491 | 0.371 | 0.310 | 
116/250: 0.812 | 0.564 | 0.496 | 0.368 | 0.308 | 
117/250: 0.805 | 0.559 | 0.492 | 0.364 | 0.305 | 
118/250: 0.798 | 0.555 | 0.487 | 0.361 | 0.303 | 
119/250: 0.800 | 0.558 | 0.492 | 0.367 | 0.300 | 
120/250: 0.802 | 0.554 | 0.488 | 0.364 | 0.298 | 
121/250: 0.803 | 0.557 | 0.484 | 0.361 | 0.295 | 
122/250: 0.805 | 0.553 | 0.480 | 0.358 | 0.293 | 
123/250: 0.806 | 0.556 | 0.484 | 0.363 | 0.298 | 
124/250: 0.808 | 0.560 | 0.488 | 0.360 | 0.296 | 
125/250: 0.810 | 0.556 | 0.484 | 0.357 | 0.294 | 
126/250: 0.811 | 0.559 | 0.488 | 0.362 | 0.299 | 
127/250: 0.812 | 0.562 | 0.492 | 0.367 | 0.305 | 
128/250: 0.806 | 0.558 | 0.488 | 0.364 | 0.302 | 
129/250: 0.800 | 0.554 | 0.485 | 0.362 | 0.300 | 
130/250: 0.802 | 0.557 | 0.489 | 0.366 | 0.305 | 
131/250: 0.803 | 0.553 | 0.485 | 0.364 | 0.303 | 
132/250: 0.805 | 0.556 | 0.489 | 0.368 | 0.308 | 
133/250: 0.799 | 0.552 | 0.485 | 0.366 | 0.306 | 
134/250: 0.800 | 0.556 | 0.489 | 0.370 | 0.311 | 
135/250: 0.801 | 0.559 | 0.493 | 0.375 | 0.309 | 
136/250: 0.803 | 0.562 | 0.496 | 0.380 | 0.314 | 
137/250: 0.804 | 0.565 | 0.493 | 0.377 | 0.312 | 
