JobID|JobName|State|ExitCode|Elapsed|NodeList|AllocCPUS|ReqTRES|AllocTRES
2089072_15.batch|batch|COMPLETED|0:0|00:27:38|g21|4||cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,mem=0,node=1
2089072_15.extern|extern|COMPLETED|0:0|00:27:38|g21|4||billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_16|calvin_l2fresh|COMPLETED|0:0|02:31:12|g19|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_16.batch|batch|COMPLETED|0:0|02:31:12|g19|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_16.extern|extern|COMPLETED|0:0|02:31:12|g19|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_17|calvin_l2fresh|COMPLETED|0:0|03:09:59|g6|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_17.batch|batch|COMPLETED|0:0|03:09:59|g6|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_17.extern|extern|COMPLETED|0:0|03:10:00|g6|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_18|calvin_l2fresh|COMPLETED|0:0|03:01:02|g6|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_18.batch|batch|COMPLETED|0:0|03:01:02|g6|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_18.extern|extern|COMPLETED|0:0|03:01:02|g6|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_19|calvin_l2fresh|COMPLETED|0:0|02:49:36|g14|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_19.batch|batch|COMPLETED|0:0|02:49:36|g14|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_19.extern|extern|COMPLETED|0:0|02:49:36|g14|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_20|calvin_l2fresh|COMPLETED|0:0|03:48:54|g14|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_20.batch|batch|COMPLETED|0:0|03:48:54|g14|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_20.extern|extern|COMPLETED|0:0|03:48:54|g14|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_21|calvin_l2fresh|COMPLETED|0:0|03:44:57|g15|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_21.batch|batch|COMPLETED|0:0|03:44:57|g15|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_21.extern|extern|COMPLETED|0:0|03:44:57|g15|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_22|calvin_l2fresh|COMPLETED|0:0|03:06:28|g19|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_22.batch|batch|COMPLETED|0:0|03:06:28|g19|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_22.extern|extern|COMPLETED|0:0|03:06:28|g19|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_23|calvin_l2fresh|COMPLETED|0:0|02:08:52|g21|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_23.batch|batch|COMPLETED|0:0|02:08:52|g21|4||cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,mem=0,node=1
2089072_23.extern|extern|COMPLETED|0:0|02:08:52|g21|4||billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
