99/250: 0.900 | 0.790 | 0.680 | 0.580 | 0.450 | 
100/250: 0.901 | 0.792 | 0.683 | 0.574 | 0.446 | 
101/250: 0.902 | 0.794 | 0.686 | 0.578 | 0.441 | 
102/250: 0.903 | 0.796 | 0.689 | 0.583 | 0.447 | 
103/250: 0.904 | 0.798 | 0.692 | 0.587 | 0.452 | 
104/250: 0.905 | 0.800 | 0.686 | 0.581 | 0.448 | 
105/250: 0.906 | 0.802 | 0.689 | 0.585 | 0.453 | 
106/250: 0.907 | 0.804 | 0.692 | 0.589 | 0.458 | 
107/250: 0.907 | 0.806 | 0.694 | 0.593 | 0.463 | 
108/250: 0.908 | 0.807 | 0.697 | 0.596 | 0.459 | 
109/250: 0.909 | 0.809 | 0.700 | 0.600 | 0.464 | 
110/250: 0.910 | 0.811 | 0.703 | 0.604 | 0.468 | 
111/250: 0.911 | 0.812 | 0.705 | 0.598 | 0.464 | 
112/250: 0.912 | 0.814 | 0.708 | 0.593 | 0.460 | 
113/250: 0.912 | 0.816 | 0.702 | 0.588 | 0.456 | 
114/250: 0.913 | 0.817 | 0.704 | 0.591 | 0.461 | 
115/250: 0.914 | 0.819 | 0.707 | 0.595 | 0.466 | 
116/250: 0.915 | 0.821 | 0.709 | 0.598 | 0.462 | 
117/250: 0.915 | 0.822 | 0.712 | 0.593 | 0.458 | 
118/250: 0.916 | 0.824 | 0.714 | 0.597 | 0.462 | 
119/250: 0.917 | 0.825 | 0.717 | 0.600 | 0.467 | 
120/250: 0.909 | 0.818 | 0.711 | 0.595 | 0.463 | 
121/250: 0.910 | 0.811 | 0.705 | 0.590 | 0.459 | 
122/250: 0.911 | 0.813 | 0.707 | 0.593 | 0.463 | 
123/250: 0.903 | 0.806 | 0.702 | 0.589 | 0.460 | 
124/250: 0.904 | 0.808 | 0.704 | 0.592 | 0.464 | 
125/250: 0.905 | 0.810 | 0.706 | 0.595 | 0.460 | 
126/250: 0.906 | 0.811 | 0.701 | 0.591 | 0.457 | 
127/250: 0.906 | 0.812 | 0.703 | 0.594 | 0.461 | 
128/250: 0.907 | 0.806 | 0.698 | 0.589 | 0.457 | 
129/250: 0.908 | 0.800 | 0.692 | 0.585 | 0.454 | 
130/250: 0.908 | 0.802 | 0.695 | 0.588 | 0.458 | 
131/250: 0.909 | 0.803 | 0.697 | 0.583 | 0.455 | 
132/250: 0.910 | 0.805 | 0.699 | 0.586 | 0.459 | 
133/250: 0.910 | 0.806 | 0.694 | 0.582 | 0.455 | 
134/250: 0.911 | 0.807 | 0.696 | 0.585 | 0.459 | 
135/250: 0.912 | 0.809 | 0.699 | 0.588 | 0.463 | 
136/250: 0.912 | 0.810 | 0.701 | 0.584 | 0.460 | 
137/250: 0.913 | 0.812 | 0.703 | 0.587 | 0.464 | 
138/250: 0.914 | 0.813 | 0.705 | 0.590 | 0.460 | 
139/250: 0.914 | 0.814 | 0.700 | 0.586 | 0.457 | 
140/250: 0.908 | 0.809 | 0.695 | 0.582 | 0.454 | 
141/250: 0.908 | 0.803 | 0.690 | 0.577 | 0.451 | 
142/250: 0.909 | 0.797 | 0.685 | 0.573 | 0.448 | 
143/250: 0.910 | 0.799 | 0.688 | 0.576 | 0.451 | 
144/250: 0.910 | 0.800 | 0.690 | 0.579 | 0.455 | 
145/250: 0.911 | 0.801 | 0.692 | 0.582 | 0.459 | 
146/250: 0.912 | 0.803 | 0.694 | 0.585 | 0.463 | 
147/250: 0.912 | 0.804 | 0.689 | 0.581 | 0.459 | 
148/250: 0.913 | 0.805 | 0.691 | 0.584 | 0.463 | 
149/250: 0.913 | 0.807 | 0.693 | 0.580 | 0.460 | 
150/250: 0.914 | 0.808 | 0.695 | 0.576 | 0.457 | 
151/250: 0.908 | 0.803 | 0.691 | 0.572 | 0.454 | 
152/250: 0.908 | 0.804 | 0.693 | 0.575 | 0.458 | 
153/250: 0.909 | 0.805 | 0.695 | 0.578 | 0.461 | 
154/250: 0.910 | 0.806 | 0.697 | 0.574 | 0.458 | 
155/250: 0.910 | 0.808 | 0.699 | 0.577 | 0.462 | 
156/250: 0.911 | 0.809 | 0.701 | 0.580 | 0.465 | 
157/250: 0.911 | 0.810 | 0.696 | 0.576 | 0.462 | 
158/250: 0.912 | 0.805 | 0.692 | 0.572 | 0.459 | 
